Captain_ID,Home_Base,Legs
449,HAM,"[3504676763, 3504676764]"
334,CGN,"[3504657805, 3504676893, 3504676848]"
175,HAM,"[3504676715, 3504676716, 3504676646]"
39,STR,"[3504676357, 3504676214]"
768,STR,"[3504676371, 3504676519, 3505309424, 3505309375]"
636,NUE,"[3504676583, 3504676494]"
401,DUS,"[3504676822, 3504676683, 3504676687, 3505309513, 3505309605, 3505309760, 3505310464, 3505310406, 3505310407]"
94,STR,"[3504676384, 3504676794]"
948,MUC,"[3504676349, 3504676350]"
9,HAM,"[3504676745, 3504676272]"
72,HAM,"[3504676759, 3504676760, 3504676761, 3505309756, 3505309685, 3505309686]"
67,DUS,"[3504676970, 3504676454]"
400,DUS,"[3504676888, 3504676580]"
636,NUE,"[3504676549, 3504676550]"
160,CGN,"[3504657803, 3504657849, 3504676196, 3504676197]"
721,DUS,"[3504676882, 3504676883]"
597,DUS,"[3504676978, 3504676979]"
184,DUS,"[3504676884, 3504676885]"
45,DUS,"[3504676980, 3504676981]"
865,STR,"[3504676445, 3504676762]"
122,STR,"[3504676345, 3504676861, 3504676898]"
750,HAM,"[3504676707, 3504676346, 3504676367, 3505309652, 3505309757, 3505309758]"
723,DUS,"[3504676892, 3504676226]"
624,CGN,"[3504676217, 3504676219, 3504676673]"
442,STR,"[3504676437, 3505309405, 3505309352, 3505309269]"
876,DUS,[3504676852]
876,DUS,"[3504676890, 3505309423, 3505309422, 3505309674]"
116,DUS,"[3504676532, 3505309439, 3505309664, 3505310051, 3505310056, 3505310057]"
131,DUS,[3504676530]
8,HAM,"[3504676735, 3504676389]"
16,DUS,"[3504676952, 3505309313, 3505309306, 3505309551]"
312,DUS,"[3504676910, 3504676911, 3504676903]"
907,BER,[3504676773]
951,DUS,"[3504676880, 3505309361, 3505309392, 3505309393]"
920,STR,"[3504676390, 3505309387, 3505309338, 3505309339]"
715,BER,"[3504676791, 3505309547]"
143,DUS,[3504676974]
246,HAM,"[3504676719, 3504676381]"
821,DUS,[3504676553]
102,DUS,[3504676966]
560,DUS,"[3504676954, 3505309742, 3505309735, 3505309355]"
663,DUS,"[3504676914, 3505309381, 3505309336, 3505309562, 3505310442]"
872,HAM,[3504676717]
83,DUS,[3504676916]
951,DUS,[3504676876]
253,DUS,[3504676904]
5,DUS,[3504676908]
871,BER,[3504676779]
92,BER,"[3504676793, 3505309704]"
837,HAM,"[3504676755, 3504676434]"
522,CGN,"[3504676770, 3504676797]"
636,NUE,"[3504676585, 3504676902]"
866,NUE,"[3504676598, 3504676580]"
840,CGN,"[3504676213, 3504676360]"
184,DUS,"[3504676816, 3504676681]"
726,STR,"[3504676363, 3504676364]"
699,BER,"[3504676765, 3504676657, 3504676749, 3505309309, 3505309249, 3505309607, 3505309721, 3505310083, 3505310050, 3505310994, 3505311013]"
10,DUS,"[3504676854, 3504676857]"
435,HAM,"[3504676670, 3504676821]"
344,BER,"[3504657821, 3504676825]"
938,HAM,"[3504676721, 3504676894]"
837,HAM,"[3504676707, 3504676710]"
872,HAM,"[3504676743, 3504676936]"
