pairing_id,base,n_legs,cost,start_min,end_min,route,legs
27,CGN,7,1135.0,955.0,2845.0,CGN->BER [TUR] BER->PMI [TUR] PMI->STR [LAY] STR->VIE [TUR] VIE->STR [TUR] STR->PMI [TUR] PMI->CGN,3505309251|3505309588|3505309375|3505310084|3505310085|3505310067|3505309989
28,STR,5,1130.0,420.0,2490.0,STR->AGP [TUR] AGP->STR [TUR] STR->BER [LAY] BER->HER [TUR] HER->STR,3505309362|3505309363|3505309333|3505310158|3505310073
29,BER,4,1130.0,1025.0,2830.0,BER->PMI [TUR] PMI->BER [LAY] BER->FAO [TUR] FAO->BER,3505309586|3505309589|3505310301|3505310302
30,STR,4,1130.0,390.0,2085.0,STR->FUE [TUR] FUE->STR [LAY] STR->NAP [TUR] NAP->STR,3505309340|3505309341|3505310094|3505310095
31,HAM,4,1125.0,1060.0,2755.0,HAM->MXP [TUR] MXP->HAM [LAY] HAM->TLV [TUR] TLV->HAM,3505309562|3505309563|3505310273|3505310274
32,DUS,4,1125.0,1025.0,2740.0,DUS->FCO [TUR] FCO->DUS [LAY] DUS->LCA [TUR] LCA->DUS,3505309757|3505309758|3505310462|3505310461
33,DUS,4,1120.0,820.0,2630.0,DUS->ZTH [TUR] ZTH->DUS [LAY] DUS->KGS [TUR] KGS->DUS,3505309695|3505309696|3505310394|3505310395
34,HAM,6,1120.0,380.0,2465.0,HAM->PMI [TUR] PMI->HAM [TUR] HAM->MUC [LAY] MUC->HAM [TUR] HAM->FCO [TUR] FCO->HAM,3505309532|3505309533|3505309506|3505310212|3505310271|3505310272
35,STR,4,1115.0,380.0,2050.0,STR->LPA [TUR] LPA->STR [LAY] STR->SJJ [TUR] SJJ->STR,3505309342|3505309343|3505310044|3505310045
36,STR,4,1110.0,890.0,2825.0,STR->RHO [TUR] RHO->STR [LAY] STR->KGS [TUR] KGS->STR,3505309385|3505309384|3505310028|3505310029
